회사명,종목코드
한농화성,011500
현대백화점,069960
대호에이엘,069460
대웅제약,069620
마니커,027740
S&T홀딩스,036530
휴켐스,069260
세종공업,033530
포스코강판,058430
삼성출판사,068290
세이브존I&C,067830
교보증권,030610
한샘,009240
신세계건설,034300
우신시스템,017370
LG전자,066570
한국콜마홀딩스,024720
S&T모티브,064960
광주신세계,037710
일진디스플,020760
필룩스,033180
종근당바이오,063160
신한지주,055550
코웨이,021240
세아홀딩스,058650
LG생활건강,051900
LG화학,051910
대우건설,047040
포스코대우,047050
대우조선해양,042660
두산인프라코어,042670
진양화학,051630
동원F&B,049770
두산중공업,034020
한국내화,010040
한세예스24홀딩스,016450
대성홀딩스,016710
대원제약,003220
한국가스공사,036460
미래아이앤지,007120
화천기공,000850
팜스코,036580
케이티앤지,033780
현대중공업,009540
디씨엠,024090
AK홀딩스,006840
대한유화,006650
백산,035150
지투알,035000
체시스,033250
자화전자,033240
케이티,030200
하이트론씨스템즈,019490
제일기획,030000
디피씨,026890
케이씨,029460
대원화성,024890
E1,017940
SK가스,018670
다우기술,023590
영보화학,014440
SKC,011790
와이비로드,010600
한국주강,025890
덕양산업,024900
부산도시가스,015350
에쓰씨엔지니어링,023960
인지컨트롤스,023800
경동인베스트,012320
에스제이엠홀딩스,025530
콤텍시스템,031820
SK하이닉스,000660
MH에탄올,023150
국동,005320
동남합성,023450
삼성엔지니어링,028050
신도리코,029530
예스코,015360
퍼시스,016800
WISCOM,024070
동원수산,030720
미래산업,025560
KTB투자증권,030210
광전자,017900
한국단자공업,025540
현대산업개발,012630
디아이,003160
신성이엔지,011930
티에이치엔,019180
한온시스템,018880
다우인큐브,020120
세원정공,021820
세하,027970
영풍제지,006740
유니온,000910
한섬,020000
현대엘리베이터,017800
환인제약,016580
계룡건설산업,013580
두산건설,011160
서원,021050
에스원,012750
태경산업,015890
한화갤러리아타임월드,027390
신대양제지,016590
유양디앤유,011690
남해화학,025860
동원금속,018500
성안,011300
경인양행,012610
풀무원,017810
현대상선,011200
서울도시가스,017390
이구산업,025820
나라케이아이씨,007460
에넥스,011090
제이준코스메틱,025620
한국카본,017960
성지건설,005980
KPX케미칼,025000
지코,010580
태평양물산,007980
KC그린홀딩스,009440
문배철강,008420
웅진,016880
오뚜기,007310
일정실업,008500
한라,014790
LS산전,010120
대양금속,009190
이화산업,000760
동원시스템즈,014820
삼성중공업,010140
모토닉,009680
화신,010690
삼화페인트공업,000390
경동나비엔,009450
DB,012030
삼광글라스,005090
대림비앤코,005750
대한해운,005880
메리츠종금증권,008560
휴니드테크놀러지스,005870
수산중공업,017550
롯데케미칼,011170
세아베스틸,001430
호텔신라,008770
백광소재,014580
화승알앤에이,013520
신흥,004080
화승인더스트리,006060
극동유화,014530
고려산업,002140
대현,016090
동국실업,001620
광명전기,017040
부산산업,011390
STX,011810
고려아연,010130
청호컴넷,012600
우리들제약,004720
무림페이퍼,009200
현대차투자증권,001500
금비,008870
대동전자,008110
원림,005820
서흥,008490
성문전자,014910
동원,003580
일진홀딩스,015860
대영포장,014160
영화금속,012280
신풍제약,019170
동성제약,002210
키위미디어그룹,012170
한올바이오파마,009420
유니켐,011330
대창,012800
국보,001140
일성건설,013360
까뮤이앤씨,013700
보락,002760
선도전기,007610
씨아이테크,004920
광동제약,009290
갤럭시아에스엠,011420
남성,004270
KISCO홀딩스,001940
태영건설,009410
한국특수형강,007280
한솔로지스틱스,009180
삼양통상,002170
SK텔레콤,017670
진양폴리우레탄,010640
미창석유공업,003650
삼익THK,004380
미원상사,002840
서연,007860
세우글로벌,013000
현대모비스,012330
메디플란트,015540
KG케미칼,001390
대우부품,009320
현대해상,001450
현대그린푸드,005440
한국전력공사,015760
국도화학,007690
녹십자,006280
SIMPAC,009160
윌비스,008600
대창단조,015230
사조산업,007160
한익스프레스,014130
사조동아원,008040
경인전자,009140
무림P&P,009580
인디에프,014990
한솔피엔에스,010420
디와이,013570
방림,003610
대경기계기술,015590
한솔케미칼,014680
퍼스텍,010820
동원산업,006040
대덕전자,008060
한성기업,003680
이스타코,015020
태림포장,011280
아세아제지,002310
화천기계,010660
CJ씨푸드,011150
신화실업,001770
조일알미늄,018470
에스엘,005850
영원무역홀딩스,009970
더존비즈온,012510
보령제약,003850
암니스,007630
이건산업,008250
모나리자,012690
대구백화점,006370
우성사료,006980
유성기업,002920
한일철강,002220
삼익악기,002450
화성산업,002460
디티알오토모티브,007340
골든브릿지증권,001290
보해양조,000890
혜인,003010
금강공업,014280
엔케이물산,009810
율촌화학,008730
신원,009270
동방,004140
한국쉘석유,002960
부광약품,003000
풍산홀딩스,005810
부국증권,001270
계양전기,012200
한솔테크닉스,004710
동성화학,005190
DB금융투자,016610
한미사이언스,008930
삼진제약,005500
포스코,005490
범양건영,002410
파미셀,005690
동국제강,001230
대원전선,006340
이수화학,005950
삼성증권,016360
삼영무역,002810
한양증권,001750
금호석유화학,011780
유안타증권,003470
제일파마홀딩스,002620
에이엔피,015260
한창제지,009460
넥센,005720
삼성공조,006660
세방전지,004490
진원생명과학,011000
참엔지니어링,009310
한국프랜지공업,010100
코스모신소재,005070
덕성,004830
신영증권,001720
유진증권,001200
유화증권,003460
대덕GDS,004130
한신기계공업,011700
코스모화학,005420
가온전선,000500
S-Oil,010950
한화테크윈,012450
삼화전자공업,011230
현대제철,004020
써니전자,004770
현대비앤지스틸,004560
사조오양,006090
한화투자증권,003530
삼화전기,009470
SK증권,001510
평화홀딩스,010770
일신석재,007110
동부제철,016380
아이에스동서,010780
SH에너지화학,002360
대한화섬,003830
코리아써키트,007810
신세계,004170
OCI,010060
삼일제약,000520
인스코비,006490
일성신약,003120
현대건설,000720
TCC동양,002710
에이프로젠제약,003060
F&F,007700
아남전자,008700
현대미포조선,010620
GS건설,006360
삼아알미늄,006110
한국전자홀딩스,006200
삼성SDI,006400
삼성전기,009150
고려개발,004200
동부건설,005960
케이씨티시,009070
코오롱글로벌,003070
빙그레,005180
녹십자홀딩스,005250
신한,005450
조선내화,000480
현대약품,004310
남양유업,003920
남선알미늄,008350
한국화장품제조,003350
삼호,001880
현대종합상사,011760
LS,006260
SK네트웍스,001740
경농,002100
도레이케미칼,008000
티웨이홀딩스,004870
동방아그로,007590
송원산업,004430
진흥기업,002780
한국석유공업,004090
천일고속,000650
대원강업,000430
만호제강,001080
조광피혁,004700
세방,004360
동양철관,008970
대유에이텍,002880
남광토건,001260
삼영전자공업,005680
신영와코루,005800
오리엔트바이오,002630
조비,001550
한국공항,005430
조광페인트,004910
삼천리,004690
성보화학,003080
조흥,002600
금양,001570
사조대림,003960
남영비비안,002070
S&T중공업,003570
한신공영,004960
농심,004370
삼영화학공업,003720
성신양회,004980
신라교역,004970
신풍제지,002870
종근당홀딩스,001630
크라운해태홀딩스,005740
한독,002390
SG충방,001380
SK케미칼,006120
샘표,007540
흥아해운,003280
GS글로벌,001250
금호산업,002990
삼부토건,001470
삼화콘덴서공업,001820
페이퍼코리아,001020
동양,001520
한화,000880
JW중외제약,001060
영풍,000670
백광산업,001340
성창기업지주,000180
한창,005110
삼화왕관,004450
KR모터스,000040
고려제강,002240
태양금속공업,004100
선창산업,002820
DRB동일,004840
넥센타이어,002350
SG세계물산,004060
롯데정밀화학,004000
동화약품,000020
대림산업,000210
LG상사,001120
국제약품,002720
태광산업,003240
부산주공,005030
현대시멘트,006390
CS홀딩스,000590
신성통상,005390
DB하이텍,000990
대림통상,006570
유유제약,000220
강남제비스코,000860
대신증권,003540
NH투자증권,005940
미래에셋대우,006800
신일산업,002700
삼성제약,001360
삼성화재해상보험,000810
삼양식품,003230
한화손해보험,000370
NI스틸,008260
일동홀딩스,000230
대동공업,000490
오리온홀딩스,001800
깨끗한나라,004540
태원물산,001420
코오롱,002020
삼성전자,005930
대유플러스,000300
BYC,001460
쌍용자동차,003620
쌍용양회공업,003410
SPC삼립,005610
흥국화재,000540
우리종금,010050
일양약품,007570
한진,002320
한국수출포장공업,002200
현대자동차,005380
모나미,005360
한화케미칼,009830
아세아,002030
카프로,006380
롯데지주,004990
대한방직,001070
서울식품공업,004410
아이에이치큐,003560
LS네트웍스,000680
금호전기,001210
알보젠코리아,002250
하이트진로홀딩스,000140
노루홀딩스,000320
기아자동차,000270
효성,004800
CJ,001040
두산,000150
휴스틸,005010
DB손해보험,005830
대웅,003090
동양물산기업,002900
진양산업,003780
영진약품,003520
케이씨씨,002380
롯데칠성음료,005300
일신방직,003200
롯데푸드,002270
아모레퍼시픽그룹,002790
제주은행,006220
한솔홀딩스,004150
벽산,007210
한국제지,002300
롯데손해보험,000400
대한제분,001130
대상,001680
LG,003550
동아쏘시오홀딩스,000640
코리안리,003690
한국주철관공업,000970
한일시멘트,003300
엔피씨,004250
한국유리공업,002000
세아제강,003030
대한전선,001440
대한제당,001790
삼양홀딩스,000070
세기상사,002420
한국타이어월드와이드,000240
전방,000950
대한항공,003490
동일방직,001530
유한양행,000100
CJ대한통운,000120
메리츠화재,000060
경방,000050
유수홀딩스,000700
한진중공업홀딩스,003480
씨티케이코스메틱스,260930
메카로,241770
에스트래픽,234300
체리부로,066360
대원,007680
비즈니스온,138580
한화에이스스팩4호,279410
스튜디오드래곤,253450
IBKS제7호스팩,276920
비디아이,148140
티슈진,950160
영화테크,265560
세원,234100
신한제4호스팩,277480
상신전자,263810
IBKS제8호스팩,277410
야스,255440
에스엔피월드,263920
신흥에스이씨,243840
유티아이,179900
선익시스템,171090
엠플러스,259630
앱클론,174900
샘코,263540
펄어비스,263750
케이피에스,256940
덕우전자,263600
이더블유케이,258610
하나금융10호스팩,270520
알에스오토메이션,140670
컬러레이,900310
엔에이치스팩12호,273060
모트렉스,118990
데이타솔루션,263800
지니언스,263860
디앤씨미디어,263720
셀트리온헬스케어,091990
이즈미디어,181340
한국제5호스팩,271740
힘스,238490
브이원텍,251630
아우딘퓨쳐스,227610
이녹스첨단소재,272290
제일홀딩스,003380
하나금융9호스팩,261200
교보7호스팩,267320
보라티알,250000
한화수성스팩,265920
매일유업,267980
삼양옵틱스,225190
IBKS제6호스팩,264850
필옵틱스,161580
미래에셋대우스팩1호,265480
엔에이치스팩10호,256630
한화에이스스팩3호,264290
하나머티리얼즈,166090
와이엠티,251370
케이비제11호스팩,258790
AP시스템,265520
신영스팩3호,263770
이엘피,063760
유비쿼스,264450
서진시스템,178320
코미코,183300
아스타,246720
대신밸런스제4호스팩,262830
에스디생명공학,217480
신신제약,002800
에프엔에스테크,083500
모바일어플라이언스,087260
신한제3호스팩,257730
피씨엘,241820
서플러스글로벌,140070
유바이오로직스,206650
엔에이치스팩11호,256840
퓨전데이타,195440
DSC인베스트먼트,241520
티에스인베스트먼트,246690
마이크로프랜드,147760
현성바이탈,204990
애니젠,196300
유니온커뮤니티,203450
신라젠,215600
IBKS제5호스팩,254120
오션브릿지,241790
퓨쳐켐,220100
뉴파워프라즈마,144960
엘앤케이바이오,156100
에이치엔티,176440
핸디소프트,220180
SK3호스팩,232330
클리오,237880
오가닉티코스메틱,900300
로고스바이오,238120
세화피앤씨,252500
인크로스,216050
에이치엘사이언스,239610
코스메카코리아,241710
GRT,900290
골든센츄리,900280
인텔리안테크,189300
에이치시티,072990
잉글우드랩,950140
앤디포스,238090
수산아이앤티,050960
미투온,201490
케이비제10호스팩,250930
유니테크노,241690
모비스,250060
교보비엔케이스팩,242040
자이글,234920
헝셩그룹,900270
에코마케팅,230360
팍스넷,038160
엔지스테크널러지,208860
우리손에프앤지,073560
옵토팩,123010
장원테크,174880
대유위니아,071460
바이오리더스,142760
피앤씨테크,237750
로스웰,900260
녹십자랩셀,144510
에스티팜,237690
알엔투테크놀로지,148250
한국4호스팩,240540
미래에셋제5호스팩,239340
휴온스,243070
원익IPS,240810
레이언스,228850
씨엠에스에듀,225330
동양파일,228340
팬젠,222110
AP위성,211270
하이에이아이1호스팩,235010
솔트웍스,230980
케이비제9호스팩,232270
큐리언트,115180
안트로젠,065660
슈프리마,236200
아이엠텍,226350
유니트론텍,142210
크리스탈신소재,900250
한솔씨앤피,221610
에스와이패널,109610
코디엠,224060
와이아이케이,232140
육일씨엔에쓰,191410
이에스브이,223310
휴젤,145020
한국맥널티,222980
덱스터,206560
아진산업,013310
강스템바이오텍,217730
씨트리,047920
동부제4호스팩,230490
메가엠디,133750
보광산업,225530
파크시스템스,140860
뉴트리바이오텍,222040
예스티,122640
하나금융7호SPAC,230240
멕아이씨에스,058110
엔에스,217820
미래테크놀로지,213090
하이즈항공,221840
리드,197210
엠지메드,180400
매직마이크로,127160
케이디켐,221980
골든브릿지제4호스팩,227950
네오오토,212560
케어젠,214370
아이진,185490
나무가,190510
유앤아이,056090
에이치엠씨3호스팩,226340
더블유게임즈,192080
연우,115960
키움스팩4호,226850
에이티젠,182400
엑시콘,092870
케이비드림4호스팩,226360
이베스트스팩3호,225440
에치디프로,214870
IBKS제3호스팩,225430
동부스팩3호,226440
신영스팩2호,225590
넷게임즈,225570
제너셈,217190
타이거일렉,219130
인포마크,175140
유진스팩3호,221200
쿠첸,225650
씨아이에스,222080
해마로푸드서비스,220630
교보5호스팩,223040
에이텍티앤,224110
웹스,196700
케이비드림3호스팩,221950
파인텍,131760
닉스테크,222810
심텍,222800
흥국에프엔비,189980
쎄노텍,222420
칩스앤미디어,094360
케이비제8호스팩,222390
아시아경제,127710
아이쓰리시스템,214430
로지시스,067730
켐트로스,220260
파마리서치프로덕트,214450
MP한강,219550
펩트론,087010
한화에이스스팩2호,219860
유안타제2호스팩,219960
키움스팩3호,218710
RFHIC,218410
골든브릿지제3호스팩,219580
동운아나텍,094170
민앤지,214180
유테크,178780
에스엔텍,160600
켐온,217600
코아스템,166480
세미콘라이트,214310
베셀,177350
넵튠,217270
하나머스트5호스팩,218150
싸이맥스,160980
하이제3호스팩,217500
엔에이치스팩7호,217810
픽셀플러스,087600
디딤,217620
제노포커스,187420
미래에셋제3호스팩,215750
대우스팩3호,215580
우정비에스씨,215380
토박스코리아,215480
이노인스트루먼트,215790
우리산업,215360
메가스터디교육,215200
유진에이씨피씨스팩2호,215090
하나머스트4호스팩,215100
디알텍,214680
유지인트,195990
골프존,215000
케이티비스팩2호,214150
퓨쳐스트림네트웍스,214270
포시에스,189690
덕산네오룩스,213420
국일신동,060480
바디텍메드,206640
썸에이지,208640
와이제이엠게임즈,193250
화이브라더스코리아,204630
하이셈,200470
휴메딕스,200670
바이오로그디바이스,208710
서전기전,189860
아스트,067390
오킨스전자,080580
지란지교시큐리티,208350
NEW,160550
아이티센,124500
녹십자엠에스,142280
디티앤씨,187220
셀바스헬스케어,208370
정다운,208140
하이로닉,149980
랩지노믹스,084650
에이디테크놀로지,200710
비씨월드제약,200780
미스터블루,207760
알테오젠,196170
엔터메이트,206400
SKC코오롱PI,178920
대창스틸,140520
에프엔씨엔터,173940
휴마시스,205470
텔콘,200230
파티게임즈,194510
지엘팜텍,204840
글로벌텍스프리,204620
디에이테크놀로지,196490
액션스퀘어,205500
엑셈,205100
테고사이언스,191420
슈피겐코리아,192440
테라셈,182690
영우디에스피,143540
드림시큐리티,203650
메디아나,041920
데브시스터즈,194480
프로스테믹스,203690
감마누,192410
고려시멘트,198440
신화콘텍,187270
파버나인,177830
덕신하우징,090410
창해에탄올,004650
윈하이텍,192390
아진엑스텍,059120
콜마비앤에이치,200130
트루윈,105550
우성아이비,194610
텔루스,196450
캐스텍코리아,071850
나노,187790
케이사인,192250
오이솔루션,138080
인터파크,108790
한국정보인증,053300
솔루에타,154040
이지웰페어,090850
SGA솔루션즈,184230
기가레인,049080
인트로메딕,150840
알티캐스트,085810
현대공업,170030
엔브이에이치코리아,067570
디엠티,134580
큐브엔터,182360
라이온켐텍,171120
램테크놀러지,171010
미동앤씨네마,161570
에이씨티,138360
해성옵틱스,076610
내츄럴엔도텍,168330
테스나,131970
파수닷컴,150900
엘티씨,170920
지엔씨에너지,119850
아미코젠,092040
GH신소재,130500
파이오링크,170790
KG ETS,151860
나스미디어,089600
엑세스바이오,950130
레고켐바이오,141080
인터불스,158310
윈팩,097800
코렌텍,104540
제로투세븐,159580
지디,155960
아이원스,114810
우리이앤엘,153490
아이센스,099190
포티스,141020
스킨앤스킨,159910
SBI핀테크솔루션즈,950110
우리로,046970
디젠스,113810
맥스로텍,141070
와이엠씨,155650
아바텍,149950
코이즈,121850
모다,149940
나노스,151910
엠씨넥스,097520
네이블커뮤니케이션즈,153460
디지탈옵틱,106520
피엔티,137400
비아트론,141000
빛샘전자,072950
사람인에이치알,143240
뉴로스,126870
제룡산업,147830
남화토건,091590
메지온,140410
원익머트리얼즈,104830
디엔에이링크,127120
나이스디앤비,130580
시큐브,131090
서암기계공업,100660
씨유메디칼,115480
사파이어테크놀로지,123260
넥스트리밍,139670
비덴트,121800
에스에프씨,112240
신진에스엠,138070
이엠넷,123570
와이지엔터테인먼트,122870
쎄미시스코,136510
에이티세미콘,089530
테크윙,089030
씨큐브,101240
에스엠코어,007820
씨엔플러스,115530
테라세미콘,123100
케이맥,043290
로보스타,090360
대한과학,131220
피앤이솔루션,131390
아이디스,143160
화진,134780
제이씨케미칼,137950
아이씨디,040910
제닉,123330
아이지스시스템,139050
상아프론테크,089980
나이벡,138610
옵티시스,109080
대양전기공업,108380
서연탑메탈,019770
넥스트아이,137940
리켐,131100
완리,900180
엘아이에스,138690
KMH,122450
골프존뉴딘,121440
윈스,136540
하림,136480
이퓨쳐,134060
티케이케미칼,104480
부스타,008470
나노신소재,121600
케이아이엔엑스,093320
티피씨글로벌,130740
딜리,131180
엘비세미콘,061970
제이엔케이히터,126880
블루콤,033560
인트론바이오,048530
다나와,119860
씨그널엔터테인먼트그룹,099830
알서포트,131370
인텍플러스,064290
티에스이,131290
액트,131400
대정화금,120240
피제이메탈,128660
디에이치피코리아,131030
제이스테판,096690
티비씨,033830
시그네틱스,033170
썬텍,122800
한국전자인증,041460
디케이락,105740
코프라,126600
선데이토즈,123420
삼본정밀전자,111870
아나패스,123860
KNN,058400
누리플랜,069140
아이텍반도체,119830
인화정공,101930
코렌,078650
아이씨케이,068940
CJ E&M,130960
한일진공,123840
알파홀딩스,117670
포메탈,119500
다원시스,068240
씨젠,096530
와이솔,122990
하이비젼시스템,126700
화신정공,126640
코리아에프티,123410
엠에스오토텍,123040
이글루시큐리티,067920
인터로조,119610
하이텍팜,106190
크루셜텍,114120
에스디시스템,121890
알톤스포츠,123750
유비벨록스,089850
지와이커머스,111820
오르비텍,046120
한솔시큐어,070300
실리콘웍스,108320
투비소프트,079970
인피니트헬스케어,071200
모바일리더,100030
서진오토모티브,122690
이스트아시아홀딩스,900110
뉴프라이드,900100
케이씨에스,115500
씨케이에이치,900120
지트리비앤티,115450
삼기오토모티브,122350
이미지스,115610
알비케이이엠디,106080
인포바인,115310
차이나하오란,900090
모베이스,101330
지스마트글로벌,114570
스타플렉스,115570
우리넷,115440
아세아텍,050860
우노앤컴퍼니,114630
코디,080530
글로벌에스엠,900070
ITX엠투엠,099520
KPX생명과학,114450
동양피엔에프,104460
멜파스,096640
위메이드,112040
셀바스AI,108860
에스앤씨엔진그룹,900080
이원컴포텍,088290
웰크론강원,114190
휴맥스,115160
에이프로젠 H&G,109960
동방선기,099410
디엠씨,101000
진매트릭스,109820
비츠로셀,082920
스틸플라워,087220
한스바이오메드,042520
NHN벅스,104200
아이앤씨,052860
케이엔더블유,105330
디에스케이,109740
제넥신,095700
톱텍,108230
동국S&C,100130
에스앤더블류,103230
게임빌,063080
동일금속,109860
어보브반도체,102120
조이맥스,101730
차이나그레이트,900040
이엔에프테크놀로지,102710
스맥,099440
해덕파워웨이,102210
SDN,099220
한국정밀기계,101680
흥국,010240
한솔신텍,099660
우림기계,101170
티플랙스,081150
에스티오,098660
에이테크솔루션,071670
에스앤에스텍,101490
뷰웍스,100120
코오롱생명과학,102940
엔시트론,101400
파인테크닉스,106240
이수앱지스,086890
대성파인텍,104040
유비쿼스홀딩스,078070
메디톡스,086900
엠게임,058630
아이컴포넌트,059100
에이치엘비생명과학,067630
이크레더블,092130
SIMPAC Metal,090730
세운메디칼,100700
마이크로컨텍솔,098120
KJ프리텍,083470
삼강엠앤티,100090
아이엠,101390
웰크론한텍,076080
코리아에스이,101670
슈프리마에이치큐,094840
서울옥션,063170
이스트소프트,047560
청담러닝,096240
월덱스,101160
쎄트렉아이,099320
브리지텍,064480
고영,098460
조이시티,067000
우진비앤지,018620
테스,095610
예스24,053280
엘디티,096870
메타바이오메드,059210
효성오앤비,097870
네패스신소재,087730
텔레필드,091440
이트론,096040
에스맥,097780
에스코넥,096630
일신바이오,068330
서원인텍,093920
이씨에스,067010
대창솔루션,096350
아이에스이커머스,069920
알에프세미,096610
디엔에프,092070
일진파워,094820
비엠티,086670
이엘케이,094190
이엠코리아,095190
현우산업,092300
다믈멀티미디어,093640
에스에너지,095910
성우전자,081580
엘엠에스,073110
제이엠티,094970
오디텍,080520
ISC,095340
네오티스,085910
미래나노텍,095500
상보,027580
바이오톡스텍,086040
연이정보통신,090740
옴니시스템,057540
푸른기술,094940
웨이브일렉트로,095270
넥스지,081970
빅솔론,093190
S&K폴리텍,091340
네오디안테크놀로지,072770
갤럭시아컴즈,094480
에코프로,086520
MP그룹,065150
컴투스,078340
네오위즈,095660
넥스트칩,092600
엔텔스,069410
풍강,093380
동국제약,086450
케이프,064820
상신이디피,091580
한라IMS,092460
에프알텍,073540
이엠텍,091120
참좋은여행,094850
코닉글로리,094860
이베스트투자증권,078020
매커스,093520
오스템임플란트,048260
나노캠텍,091970
네오팜,092730
비에이치,090460
오스코텍,039200
켐트로닉스,089010
제이스텍,090470
동아엘텍,088130
휴온스글로벌,084110
케이씨티,089150
파트론,091700
디에스티로봇,090710
유니테스트,086390
에스에이티,060540
큐에스아이,066310
멀티캠퍼스,067280
화신테크,086250
고려반도체,089890
성창오토텍,080470
넥스턴,089140
제이티,089790
광진윈텍,090150
이녹스,088390
THE E&M,089230
바텍,043150
한컴MDS,086960
루멘스,038060
CSA 코스믹,083660
티엘아이,062860
한국전자금융,063570
쇼박스,086980
팬엔터테인먼트,068050
루트로닉,085370
인포뱅크,039290
아이오케이,078860
동우팜투테이블,088910
제이브이엠,054950
팅크웨어,084730
진바이오텍,086060
정산애강,022220
에이스테크,088800
셀트리온제약,068760
GST,083450
에너토크,019990
제우스,079370
한일네트웍스,046110
뉴프렉스,085670
유진테크,084370
크리스탈,083790
바이로메드,084990
바이오니아,064550
인콘,083640
차바이오텍,085660
대봉엘에스,078140
와이엔텍,067900
케이엠,083550
수성,084180
한국코퍼레이션,050540
모다이노칩,080420
